create_distribution,create_delay,create_reqs served,p1 distribution,p1_delay,p1_reqs served,p1_queue_len,p1_failures,p1_failure_prob,p1_mean_queue,p1_mean_business,p2 distribution,p2_delay,p2_reqs served,p2_queue_len,p2_failures,p2_failure_prob,p2_mean_queue,p2_mean_business,p3 distribution,p3_delay,p2_reqs served,p3_queue_len,p3_failures,p3_failure_prob,p3_mean_queue,p3_mean_business
exp,0.5,2029,exp,0.8,1249,5,775,0.6204963971176941,4.010778702238651,0.9985701845722342,exp,0.8,1248,5,0,0.0,0.0,0.997770688827981,exp,0.8,1247,5,0,0.0,0.0,0.996971193083728
exp,0.5,1994,exp,0.8,1233,3,760,0.616382806163828,2.073277215794111,0.9859895152978063,exp,0.8,1232,3,0,0.0,0.0,0.9851898482132175,exp,0.8,1231,3,0,0.0,0.0,0.984390181128629
exp,0.5,1971,exp,1.0,1000,5,966,0.966,4.334041140964071,1.0,exp,1.0,999,5,0,0.0,0.0,0.999,exp,1.0,998,5,0,0.0,0.0,0.998
exp,0.5,2013,exp,1.0,995,3,1014,1.0190954773869347,2.3234542065658714,0.9952140598773116,exp,1.0,994,3,0,0.0,0.0,0.9942141550745247,exp,1.0,993,3,0,0.0,0.0,0.9932142502717377
exp,0.5,2067,exp,1.5,666,5,1395,2.0945945945945947,4.636972922376708,1.0,exp,1.5,665,5,0,0.0,0.0,0.998500385792336,exp,1.5,664,5,0,0.0,0.0,0.9970007715846719
exp,0.5,1938,exp,1.5,667,3,1269,1.9025487256371814,2.6335955111720875,1.0,exp,1.5,666,3,0,0.0,0.0,0.9985007496251874,exp,1.5,665,3,0,0.0,0.0,0.9970014992503748
exp,1.0,1014,exp,0.8,994,5,16,0.01609657947686117,1.1933527423884494,0.7957622911919894,exp,0.8,993,5,0,0.0,0.0,0.7949623424509636,exp,0.8,992,5,0,0.0,0.0,0.7941623937099382
exp,1.0,1033,exp,0.8,943,3,88,0.09331919406150584,0.7507330432821157,0.7546206126087722,exp,0.8,943,3,0,0.0,0.0,0.7539099599549611,exp,0.8,943,3,0,0.0,0.0,0.753909959954961
exp,1.0,952,exp,1.0,897,5,50,0.055741360089186176,1.801788585978771,0.8971691108192519,exp,1.0,896,5,0,0.0,0.0,0.8961698186621218,exp,1.0,895,5,0,0.0,0.0,0.8951705265049915
exp,1.0,1008,exp,1.0,856,3,151,0.1764018691588785,1.164424882164819,0.8551788600063328,exp,1.0,855,3,0,0.0,0.0,0.8541798192820264,exp,1.0,854,3,0,0.0,0.0,0.8531807785577199
exp,1.0,980,exp,1.5,666,5,311,0.466966966966967,3.7484341523182407,0.9977826658533825,exp,1.5,665,5,0,0.0,0.0,0.9962844936824314,exp,1.5,664,5,0,0.0,0.0,0.9947863215114804
exp,1.0,1013,exp,1.5,653,3,357,0.5467075038284839,1.9860081666963287,0.9793237713742823,exp,1.5,652,3,0,0.0,0.0,0.9778240412496663,exp,1.5,651,3,0,0.0,0.0,0.9763243111250501
exp,1.5,632,exp,0.8,631,5,0,0.0,0.2549271989217392,0.5045067235765055,exp,0.8,631,5,0,0.0,0.0,0.5045067235765056,exp,0.8,631,5,0,0.0,0.0,0.5045067235765056
exp,1.5,661,exp,0.8,656,3,5,0.007621951219512195,0.2439081486699854,0.5247819169767872,exp,0.8,655,3,0,0.0,0.0,0.5239819445423715,exp,0.8,654,3,0,0.0,0.0,0.5232953514044584
exp,1.5,636,exp,1.0,630,5,3,0.004761904761904762,0.5187068291653623,0.6308788126607766,exp,1.0,630,5,0,0.0,0.0,0.6299405890784091,exp,1.0,629,5,0,0.0,0.0,0.6296837906685953
exp,1.5,682,exp,1.0,663,3,18,0.027149321266968326,0.48957426473569887,0.6628721688171679,exp,1.0,662,3,0,0.0,0.0,0.6627785370922095,exp,1.0,662,3,0,0.0,0.0,0.6618723616243818
exp,1.5,668,exp,1.5,610,5,53,0.08688524590163935,2.128283592781336,0.9154327016502641,exp,1.5,609,5,0,0.0,0.0,0.9139342833356059,exp,1.5,608,5,0,0.0,0.0,0.9124358650209476
exp,1.5,635,exp,1.5,569,3,63,0.11072056239015818,1.1203197242558087,0.8533600354336324,exp,1.5,568,3,0,0.0,0.0,0.8518602814170531,exp,1.5,567,3,0,0.0,0.0,0.8503605274004739
,0.5,2001,,0.8,1250,5,745,0.596,4.674999999995775,1.0,,0.8,1249,5,0,0.0,0.0,0.9992,,0.8,1248,5,0,0.0,0.0,0.9984
,0.5,2001,,0.8,1250,3,747,0.5976,2.6844999999957735,1.0,,0.8,1249,3,0,0.0,0.0,0.9992,,0.8,1248,3,0,0.0,0.0,0.9984
,0.5,2001,,1.0,1000,5,996,0.996,4.49,1.0,,1.0,999,5,0,0.0,0.0,0.999,,1.0,998,5,0,0.0,0.0,0.998
,0.5,2001,,1.0,1000,3,998,0.998,2.497,1.0,,1.0,999,3,0,0.0,0.0,0.999,,1.0,998,3,0,0.0,0.0,0.998
,0.5,2001,,1.5,666,5,1329,1.9954954954954955,4.6585,1.0,,1.5,665,5,0,0.0,0.0,0.9985,,1.5,664,5,0,0.0,0.0,0.997
,0.5,2001,,1.5,666,3,1331,1.9984984984984986,2.664,1.0,,1.5,665,3,0,0.0,0.0,0.9985,,1.5,664,3,0,0.0,0.0,0.997
,1.0,1001,,0.8,1000,5,0,0.0,0.0,0.799999999999982,,0.8,999,5,0,0.0,0.0,0.799399999999982,,0.8,998,5,0,0.0,0.0,0.798799999999982
,1.0,1001,,0.8,1000,3,0,0.0,0.0,0.799999999999982,,0.8,999,3,0,0.0,0.0,0.799399999999982,,0.8,998,3,0,0.0,0.0,0.798799999999982
,1.0,1001,,1.0,1000,5,0,0.0,0.0,1.0,,1.0,999,5,0,0.0,0.0,0.999,,1.0,998,5,0,0.0,0.0,0.998
,1.0,1001,,1.0,1000,3,0,0.0,0.0,1.0,,1.0,999,3,0,0.0,0.0,0.999,,1.0,998,3,0,0.0,0.0,0.998
,1.0,1001,,1.5,666,5,329,0.493993993993994,4.4695,1.0,,1.5,665,5,0,0.0,0.0,0.9985,,1.5,664,5,0,0.0,0.0,0.997
,1.0,1001,,1.5,666,3,331,0.496996996996997,2.4905,1.0,,1.5,665,3,0,0.0,0.0,0.9985,,1.5,664,3,0,0.0,0.0,0.997
,1.5,668,,0.8,667,5,0,0.0,0.0,0.5333333333333212,,0.8,666,5,0,0.0,0.0,0.5332333833083338,,0.8,666,5,0,0.0,0.0,0.5325337331334212
,1.5,668,,0.8,667,3,0,0.0,0.0,0.5333333333333212,,0.8,666,3,0,0.0,0.0,0.5332333833083338,,0.8,666,3,0,0.0,0.0,0.5325337331334212
,1.5,667,,1.0,667,5,0,0.0,0.0,0.667,,1.0,666,5,0,0.0,0.0,0.666,,1.0,665,5,0,0.0,0.0,0.6655
,1.5,667,,1.0,667,3,0,0.0,0.0,0.667,,1.0,666,3,0,0.0,0.0,0.666,,1.0,665,3,0,0.0,0.0,0.6655
,1.5,668,,1.5,667,5,0,0.0,0.0,1.0,,1.5,666,5,0,0.0,0.0,0.9985007496251874,,1.5,665,5,0,0.0,0.0,0.9970014992503748
,1.5,668,,1.5,667,3,0,0.0,0.0,1.0,,1.5,666,3,0,0.0,0.0,0.9985007496251874,,1.5,665,3,0,0.0,0.0,0.9970014992503748
